faculty,programme,programme_slug,career_title
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Tour Guide
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Translator
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Academic Researcher/Professor
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Communications Consultant
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Content Creator
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Cultural Analyst
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Dramaturg
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Editor
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Journalist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Literary Agent
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Literary Critic
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Media Specialist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Public Relations Officer
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Publishing Professional
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Scriptwriter
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Theatre Director
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Writer/Author
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Broadcast Journalist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Communication Manager
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Creative Writer
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Digital Content Creator
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Documentary Producer
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Editorial Director
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Event Manager
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Marketing Communication Specialist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Analyst
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Designer
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Law Consultant
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Planner
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Researcher
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Multimedia Producer
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Photojournalist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Publishing Manager
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Public Relations Specialist
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Screenwriter
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Strategic Communications Consultant
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Citizen Journalist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Architect
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Architectural Assistant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Urban Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Interior Designer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Landscape Designer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Building Designer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Project Coordinator
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Construction Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Draftsperson
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,3D Visualizer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,BIM Specialist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Sustainable Design Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Building Information Modeler
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Design Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Site Supervisor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Planning Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Heritage Conservation Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF SCIENCE IN ARCHITECTURE,bachelor-of-science-in-architecture,Facilities Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Building Surveyor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Property Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Facilities Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Construction Project Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Quantity Surveyor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Site Inspector
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Maintenance Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Building Control Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Health and Safety Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Building Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Contract Administrator
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Technical Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Real Estate Valuer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Risk Assessor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Asset Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF BUILDING SURVEYING,bachelor-of-building-surveying,Building Compliance Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Quantity Surveyor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Cost Estimator
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Contract Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Project Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Construction Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Procurement Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Claims Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Commercial Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Value Engineer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Risk Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Cost Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Tendering Specialist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Site Quantity Surveyor
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Construction Economist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying,Development Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Urban Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Regional Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Town Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Land Use Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Transportation Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Environmental Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,City Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Housing Development Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Planning Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Urban Designer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Policy Analyst
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Community Development Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,GIS Specialist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Zoning Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Infrastructure Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Sustainable Development Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Research Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF URBAN AND REGIONAL PLANNING,bachelor-of-urban-and-regional-planning,Development Control Officer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Real Estate Valuer
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Property Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Real Estate Agent
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Estate Planner
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Asset Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Investment Analyst
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Property Consultant
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Leasing Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Real Estate Broker
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Land Economist
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Facilities Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Development Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Real Estate Appraiser
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Property Analyst
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Portfolio Manager
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Valuation Executive
FACULTY  OF BUILT ENVIRONMENT,BACHELOR OF REAL ESTATE,bachelor-of-real-estate,Real Estate Researcher
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Business Development Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Marketing Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Human Resources Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Operations Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Sales Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Project Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Management Consultant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Customer Relationship Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Entrepreneur
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Business Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Administrative Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Product Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Supply Chain Coordinator
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Retail Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Brand Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Corporate Trainer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Public Relations Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,E-Commerce Specialist
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Procurement Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF BUSINESS ADMINISTRATION,bachelor-of-business-administration,Strategic Planning Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Accountant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Auditor
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Tax Consultant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Financial Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Budget Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Management Accountant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Internal Auditor
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,External Auditor
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Chief Financial Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Forensic Accountant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Payroll Specialist
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Finance Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Credit Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Risk Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Investment Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Compliance Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Accounts Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR IN ACCOUNTING,bachelor-in-accounting,Financial Controller
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Financial Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Investment Banker
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Risk Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Portfolio Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Financial Planner
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Credit Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Treasury Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Fund Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Wealth Management Advisor
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Finance Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Budget Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Corporate Finance Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Loan Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Equity Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Financial Consultant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Asset Manager
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Banking Executive
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Mergers and Acquisitions Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Compliance Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF FINANCE,bachelor-of-finance,Financial Operations Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Economist
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Financial Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Policy Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Market Research Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Economic Consultant
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Investment Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Data Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Risk Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Statistician
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Budget Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Research Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Business Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Trade Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Actuarial Analyst
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Public Sector Economist
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Development Economist
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Banking Officer
FACULTY OF BUSINESS AND ECONOMIC,BACHELOR OF ECONOMICS,bachelor-of-economics,Corporate Strategist
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,AI Research Scientist
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Algorithm Developer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Business Intelligence Analyst
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Computer Vision Engineer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Data Scientist
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Deep Learning Engineer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Machine Learning Engineer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Natural Language Processing Engineer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Robotics Engineer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Software Developer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE),bachelor-of-computer-science-artificial-intelligence,Virtual Reality Developer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (SOFTWARE ENGINEERING),bachelor-of-computer-science-software-engineering,Application Developer
FACULTY OF COMPUTER SCIENCE,BACHELOR OF COMPUTER SCIENCE (SOFTWARE ENGINEERING),bachelor-of-computer-science-software-engineering,Cloud Solutions Architect
