faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Education Coordinator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Mosque Imam
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Religious Advisor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Author Of Islamic Literature
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Curriculum Developer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Content Writer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Translator Of Islamic Texts
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Community Outreach Coordinator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Affairs Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Interfaith Dialogue Facilitator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Islamic Historian
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF AL-QURAN AND AL-HADITH,bachelor-of-al-quran-and-al-hadith,Religious Event Organizer
