onet_code,reported_title
11-3051.06,Power Plant Supervisor
11-3051.06,Power Project Manager
11-3061.00,Category Purchasing Manager
11-3061.00,Commodity Manager
11-3061.00,Materials Director
11-3061.00,Materials Manager
11-3061.00,Procurement Director
11-3061.00,Procurement Manager
11-3061.00,Purchasing Director
11-3061.00,Purchasing Manager
11-3061.00,Purchasing Supervisor
11-3061.00,Strategic Sourcing Director
11-3071.00,Distribution Center Manager
11-3071.00,Distribution Manager
11-3071.00,Fleet Manager
11-3071.00,Global Transportation Manager
11-3071.00,Logistics Director
11-3071.00,Logistics Operations Manager
11-3071.00,Shipping Manager
11-3071.00,Supply Chain Logistics Manager
11-3071.00,Transportation Manager
11-3071.00,Warehouse Supervisor
11-3071.04,Global Supply Chain Director
11-3071.04,Material Requirements Planning Manager
11-3071.04,Solution Design and Analysis Manager
11-3071.04,Supply Chain Director
11-3071.04,Supply Chain Manager
11-3111.00,Benefits Coordinator
11-3111.00,Benefits Director
11-3111.00,Benefits Manager
11-3111.00,Compensation and Benefits Director
11-3111.00,Compensation and Benefits Manager
11-3111.00,Compensation Director
11-3111.00,Compensation Manager
11-3111.00,Employee Benefits Coordinator
11-3111.00,Employee Benefits Manager
11-3111.00,Payroll Manager
11-3121.00,Employee Relations Manager
11-3121.00,HR Admin Director (Human Resources Administration Director)
11-3121.00,HR Director (Human Resources Director)
11-3121.00,HR Manager (Human Resources Manager)
11-3121.00,HR Ops Manager (Human Resources Operations Manager)
11-3121.00,HR VP (Human Resources Vice President)
11-3121.00,Recruitment Director
11-3131.00,Education and Development Manager
11-3131.00,L and D Director (Learning and Development Director)
11-3131.00,Learning Manager
11-3131.00,Organizational Development Manager (OD Manager)
11-3131.00,Staff Development Director
11-3131.00,Staff Training and Development Manager
11-3131.00,Training and Development Coordinator (T and D Coordinator)
11-3131.00,Training and Development Director (T and D Director)
11-3131.00,Training Director
11-3131.00,Training Manager
11-9013.00,Aquaculture Director
11-9013.00,Farm Manager
11-9013.00,Farm Operations Technical Director
11-9013.00,Fish Hatchery Manager
11-9013.00,Greenhouse Manager
11-9013.00,Harvesting Manager
11-9013.00,Hatchery Manager
11-9013.00,Hatchery Supervisor
11-9013.00,Nursery Manager
11-9013.00,Ranch Manager
11-9021.00,Concrete Foreman
11-9021.00,Construction Area Manager
11-9021.00,Construction Foreman
11-9021.00,Construction Management Supervisor
11-9021.00,Construction Manager
11-9021.00,Construction Services Manager
11-9021.00,Construction Superintendent
11-9021.00,General Superintendent
11-9021.00,Job Superintendent
11-9021.00,Site Manager
11-9031.00,Child Care Center Director
11-9031.00,Child Care Director
11-9031.00,Childcare Director
11-9031.00,Day Care Director
11-9031.00,Early Childhood Program Supervisor (ECP Supervisor)
11-9031.00,Early Childhood Services Director
11-9031.00,Education Coordinator
11-9031.00,Education Director
11-9031.00,Education Site Manager
11-9031.00,Preschool Program Director
11-9032.00,Athletic Director
11-9032.00,Curriculum and Instruction Superintendent
11-9032.00,Curriculum Director
11-9032.00,Elementary Principal
11-9032.00,K-12 Principal (Kindergarten Through Twelfth Grade Principal)
11-9032.00,MS Principal (Middle School Principal)
11-9032.00,School Administrator (School Admin)
11-9032.00,School Superintendent
11-9032.00,SPED Director (Special Education Director)
11-9032.00,Superintendent
11-9033.00,Academic Affairs Vice President (Academic Affairs VP)
11-9033.00,Academic Dean
11-9033.00,Admissions Director
11-9033.00,College President
11-9033.00,Dean
11-9033.00,Financial Aid Director
11-9033.00,Institutional Research Director
11-9033.00,Provost
11-9033.00,Registrar
11-9033.00,Students Dean
11-9041.00,Civil Engineering Manager
11-9041.00,Electrical Engineering Manager
11-9041.00,Engineering Director
11-9041.00,Engineering Group Manager
11-9041.00,Engineering Program Manager
11-9041.00,Mechanical Engineering Manager
11-9041.00,Process Engineering Manager
11-9041.00,Project Engineering Manager
11-9041.00,Project Manager
11-9041.01,Analytical Research Program Manager
11-9041.01,Biodiesel Division Manager
11-9041.01,Biofuels Manager
11-9041.01,Business Development and New Technology Manager
11-9041.01,Laboratory Manager (Lab Manager)
11-9041.01,Project Development Director
11-9051.00,Banquet Manager
11-9051.00,Catering Manager
11-9051.00,CDM (Certified Dietary Manager)
11-9051.00,Dining Service Director
11-9051.00,F and B Manager (Food and Beverage Manager)
11-9051.00,Food Service Director
11-9051.00,Food Service Manager
11-9051.00,Food Service Supervisor
11-9051.00,Kitchen Manager
11-9051.00,Restaurant Manager
11-9071.00,Casino Manager
11-9071.00,Casino Operations Manager
11-9071.00,Casino Shift Manager
11-9071.00,Gaming Manager
11-9071.00,Pit Manager
11-9071.00,Shift Manager
11-9071.00,Slot Manager
11-9071.00,Slot Operations Manager
11-9071.00,Table Games Manager
11-9071.00,Table Games Shift Manager
11-9072.00,Aquatic Program Manager
11-9072.00,Camp Director
11-9072.00,Events Manager
11-9072.00,Golf Course Manager
11-9072.00,Ice Arena Director
11-9072.00,Park Manager
11-9072.00,Recreation Director
11-9072.00,Recreation Manager
11-9072.00,Recreation Superintendent
11-9072.00,Social Activities Director
11-9081.00,Bed and Breakfast Innkeeper
11-9081.00,Front Desk Manager
11-9081.00,Front Office Director
11-9081.00,Front Office Manager
11-9081.00,Guest Relations Manager
11-9081.00,Guest Services Manager
11-9081.00,Hotel Manager
11-9081.00,Night Manager
11-9081.00,Resort Manager
11-9081.00,Rooms Director
11-9111.00,Cancer Center Director
11-9111.00,Clinical Director
11-9111.00,Health Information Management Director (HIM Director)
11-9111.00,Health Information Manager (HIM Manager)
11-9111.00,Healthcare System Director
11-9111.00,Medical Records Director
11-9111.00,Medical Records Manager
11-9111.00,Mental Health Program Manager
11-9111.00,Nurse Manager
11-9111.00,Nursing Director
11-9121.00,Analytical Services Manager
11-9121.00,Chemical Engineer Supervisor
11-9121.00,Chemical Process Exploration Manager
11-9121.00,Environmental Program Manager
11-9121.00,Lab Manager (Laboratory Manager)
11-9121.00,Natural Sciences Manager
11-9121.00,Research Administrator
11-9121.00,Research and Development Director (R and D Director)
11-9121.00,Research Manager
11-9121.00,Water Team Leader
11-9121.01,Clinical Coordinator
11-9121.01,Clinical Program Coordinator
11-9121.01,Clinical Program Manager
11-9121.01,Clinical Research Administrator
11-9121.01,Clinical Research Coordinator
11-9121.01,Clinical Research Manager
11-9121.01,Clinical Research Nurse Coordinator
11-9121.01,Clinical Trial Coordinator
11-9121.01,Clinical Trial Manager
11-9121.01,Research Coordinator
11-9121.02,Water Resources Planner
11-9131.00,Delivery Supervisor
11-9131.00,Distribution Operation Supervisor (SDO)
11-9131.00,Distribution Operations Manager
11-9131.00,Distribution Operations Supervisor
11-9131.00,Mail Delivery Supervisor
11-9131.00,Postal Supervisor
11-9131.00,Postmaster
11-9131.00,Postmaster Relief (PMR)
11-9131.00,Remote Encoding Center Manager
11-9131.00,Remote Encoding Operations Supervisor
11-9141.00,Apartment Manager
11-9141.00,Commercial Property Manager
11-9141.00,Community Association Manager
11-9141.00,Community Manager
11-9141.00,Lease Administration Supervisor
11-9141.00,Leasing Manager
11-9141.00,Onsite Manager
11-9141.00,Property Manager
11-9141.00,Real Estate Manager
11-9141.00,Resident Manager
11-9151.00,Adoption Services Manager
11-9151.00,Child Welfare Services Director
11-9151.00,Children's Service Supervisor
11-9151.00,Clinical Services Director
11-9151.00,Community Services Director
11-9151.00,Psychiatric Social Worker Supervisor
11-9151.00,Social Services Director
11-9151.00,Transitional Care Director
11-9151.00,Vocational Rehabilitation Administrator
11-9161.00,911 Communications Manager
11-9161.00,Emergency Management Coordinator
11-9161.00,Emergency Management Director
11-9161.00,Emergency Management System Director (EMS Director)
11-9161.00,Emergency Manager
11-9161.00,Emergency Planner
11-9161.00,Emergency Preparedness Manager
11-9161.00,Emergency Services Director
11-9161.00,Emergency Services Program Coordinator
11-9161.00,Public Safety Director
11-9171.00,Arranging Funeral Director
11-9171.00,Funeral Director
11-9171.00,Funeral Home Location Manager
11-9171.00,Funeral Home Manager
11-9171.00,Funeral Home Owner
11-9171.00,Funeral Service Manager
11-9171.00,Licensed Funeral Director
11-9171.00,Location Manager
11-9171.00,Mortuary Operations Manager (Mortuary Ops Manager)
11-9171.00,Prearranged Funeral Sales Manager
11-9179.01,Clinical and Wellness Programs Manager
11-9179.01,Fitness and Wellness Coordinator
11-9179.01,Fitness and Wellness Director
11-9179.01,Fitness Center Manager
11-9179.01,Fitness Coordinator
11-9179.01,Fitness Director
11-9179.01,Group Fitness Manager (GFM)
11-9179.01,Wellness and Coaching Manager
11-9179.01,Wellness Director
11-9179.01,Wellness Programs Director
11-9179.02,Guest Experience Director
11-9179.02,Massage Department Manager
11-9179.02,Spa Director
11-9179.02,Spa Operation Manager
11-9179.02,Spa Operations Manager (Spa Ops Manager)
11-9179.02,Spa Supervisor
11-9199.01,"CMC Director (Chemistry, Manufacturing, and Controls Director)"
11-9199.01,Compliance Director
11-9199.01,Global RA Director (Global Regulatory Affairs Director)
11-9199.01,Global RA Manager (Global Regulatory Affairs Manager)
11-9199.01,RA Director (Regulatory Affairs Director)
11-9199.01,RA Manager (Regulatory Affairs Manager)
11-9199.01,RA QA Director (Regulatory Affairs Quality Assurance Director)
11-9199.01,RA VP (Regulatory Affairs Vice President)
11-9199.01,Regulatory Director
11-9199.01,Vaccine RA Director (Vaccine Regulatory Affairs Director)
11-9199.02,Accreditation Lieutenant
11-9199.02,Accreditation Manager
11-9199.02,Compliance Director
11-9199.02,Compliance Manager
11-9199.02,Compliance Operations Manager
11-9199.02,Environmental Health and Safety Director
11-9199.02,Environmental Manager
11-9199.02,Environmental Program Manager
11-9199.02,"Health, Safety, and Environmental Manager (HSE Manager)"
11-9199.02,Risk Manager
11-9199.08,Asset Protection Manager
11-9199.08,Logistics Loss Prevention Manager
11-9199.08,Loss Control Manager
11-9199.08,Loss Prevention Director
11-9199.08,Loss Prevention Manager
11-9199.08,Loss Prevention Operations Director
11-9199.08,Loss Prevention Operations Manager
11-9199.08,Loss Prevention Supervisor
11-9199.08,Market Asset Protection Manager
11-9199.09,Service Site Manager
11-9199.09,Site Manager
11-9199.09,Turbine Site Manager
11-9199.09,Wind Facilities Manager
11-9199.09,Wind Operations Supervisor
11-9199.09,Wind Plant Manager
11-9199.09,Wind Plant Operations Manager
11-9199.09,Wind Site Manager
11-9199.09,Wind Site Supervisor
11-9199.09,Wind Technician Leader
11-9199.10,Business Development Director
11-9199.10,Business Development Manager
11-9199.10,Development Director
11-9199.10,Development Manager
11-9199.10,Project Development Leader
11-9199.10,Renewable Project Management and Construction Director
11-9199.11,Brownfield Program Director
11-9199.11,Brownfield Program Manager
11-9199.11,Brownfield Redevelopment Coordinator
11-9199.11,Brownfields Practice Leader
11-9199.11,Brownfields Program Coordinator
11-9199.11,Brownfields Program Manager
11-9199.11,Environmental Practice Leader
11-9199.11,Environmental Program Manager
11-9199.11,Environmental Quality Division Manager
11-9199.11,Environmental Quality Specialist
13-1011.00,Agent
13-1011.00,Athlete Marketing Agent
13-1011.00,Booker
13-1011.00,Booking Agent
13-1011.00,Entertainment Specialist
13-1011.00,Literary Agent
13-1011.00,Print Agent
13-1011.00,Talent Agent
13-1011.00,Talent Representative
